date,energy,temp,humidity,day
1/11/2016 17:00,55,6.308333333,92,Monday
1/11/2016 18:00,176.6666667,5.941666667,91.58333333,Monday
1/12/2016 9:00,43.33333333,5.008333333,91,Tuesday
1/12/2016 10:00,230,5.758333333,88.91666667,Tuesday
1/12/2016 11:00,55,6.65,83.91666667,Tuesday
1/12/2016 12:00,186.6666667,7.208333333,80.16666667,Tuesday
1/12/2016 13:00,151.6666667,7.291666667,79.83333333,Tuesday
1/12/2016 14:00,136.6666667,6.958333333,78.91666667,Tuesday
1/12/2016 15:00,36.66666667,6.65,78.5,Tuesday
1/12/2016 16:00,40,6.383333333,79.08333333,Tuesday
1/12/2016 17:00,218.3333333,6.041666667,79.16666667,Tuesday
1/12/2016 18:00,58.33333333,5.15,87.5,Tuesday
1/13/2016 9:00,220,5,88,Wednesday
1/13/2016 10:00,66.66666667,5.208333333,85.08333333,Wednesday
1/13/2016 11:00,60,5.708333333,78.91666667,Wednesday
1/13/2016 12:00,41.66666667,5.791666667,76.83333333,Wednesday
1/13/2016 13:00,35,6.083333333,75.08333333,Wednesday
1/13/2016 14:00,45,6.65,70.16666667,Wednesday
1/13/2016 15:00,41.66666667,6.341666667,66.5,Wednesday
1/13/2016 16:00,80,5.816666667,66.33333333,Wednesday
1/13/2016 17:00,96.66666667,4.458333333,73.5,Wednesday
1/13/2016 18:00,111.6666667,3.283333333,82,Wednesday
1/14/2016 9:00,168.3333333,1.55,96.75,Thursday
1/14/2016 10:00,538.3333333,2.066666667,94.16666667,Thursday
1/14/2016 11:00,238.3333333,2.55,92.58333333,Thursday
1/14/2016 12:00,283.3333333,3.441666667,90.33333333,Thursday
1/14/2016 13:00,70,4.45,86.75,Thursday
1/14/2016 14:00,130,5.091666667,84.58333333,Thursday
1/14/2016 15:00,51.66666667,5.458333333,81.91666667,Thursday
1/14/2016 16:00,308.3333333,5.066666667,77.75,Thursday
1/14/2016 17:00,405,4.558333333,76,Thursday
1/14/2016 18:00,216.6666667,4.291666667,76.41666667,Thursday
1/15/2016 9:00,206.6666667,3.2,80.83333333,Friday
1/15/2016 10:00,125,3.491666667,82,Friday
1/15/2016 11:00,125,3.816666667,84.5,Friday
1/15/2016 12:00,210,3.783333333,87.58333333,Friday
1/15/2016 13:00,196.6666667,4.025,86.58333333,Friday
1/15/2016 14:00,63.33333333,4.325,85.16666667,Friday
1/15/2016 15:00,56.66666667,3.333333333,89,Friday
1/15/2016 16:00,56.66666667,1.908333333,95.16666667,Friday
1/15/2016 17:00,98.33333333,2.491666667,93.58333333,Friday
1/15/2016 18:00,278.3333333,2.733333333,93,Friday
1/16/2016 9:00,0,1.591666667,96.16666667,Saturday
1/16/2016 10:00,0,2.625,94.16666667,Saturday
1/16/2016 11:00,0,4,90.5,Saturday
1/16/2016 12:00,0,5.2,78.25,Saturday
1/16/2016 13:00,0,5.858333333,71.83333333,Saturday
1/16/2016 14:00,0,5.55,74.58333333,Saturday
1/16/2016 15:00,0,4.741666667,68.66666667,Saturday
1/16/2016 16:00,0,3.058333333,78.08333333,Saturday
1/16/2016 17:00,0,1.975,83.83333333,Saturday
1/16/2016 18:00,0,2.291666667,81.75,Saturday
1/17/2016 9:00,0,-0.383333333,91.75,Sunday
1/17/2016 10:00,0,0.658333333,88.75,Sunday
1/17/2016 11:00,0,1.758333333,82.41666667,Sunday
1/17/2016 12:00,0,2.608333333,73.91666667,Sunday
1/17/2016 13:00,0,2.941666667,67.66666667,Sunday
1/17/2016 14:00,0,3.041666667,61.33333333,Sunday
1/17/2016 15:00,0,2.933333333,59.41666667,Sunday
1/17/2016 16:00,0,1.908333333,65.41666667,Sunday
1/17/2016 17:00,0,0.133333333,77.16666667,Sunday
1/17/2016 18:00,0,-0.883333333,81.33333333,Sunday
1/18/2016 9:00,45,-3.85,86.41666667,Monday
