station,year_month_day_hour,PM2.5,TEMP,PRES,WSPM
Gucheng,3/1/2013,8.625,1.691666667,1024.816667,2.35
Gucheng,3/2/2013,36.91666667,0.820833333,1024.9,1.0875
Gucheng,3/3/2013,80.33333333,6.5625,1012.566667,1.4
Gucheng,3/4/2013,26.5,9.795833333,1015.608333,1.541666667
Gucheng,3/5/2013,136.7083333,6.75,1008.883333,0.841666667
Gucheng,3/6/2013,190.9166667,7.354166667,1005.583333,0.745833333
Gucheng,3/7/2013,243.75,9.729166667,1000.304167,1.004166667
Gucheng,3/8/2013,201.5,10.6125,997.45,1.245833333
Gucheng,3/9/2013,59.33333333,7.625,1002.316667,2.266666667
Gucheng,3/10/2013,41.58333333,6.425,1018.583333,1.979166667
Gucheng,3/11/2013,138,5.783333333,1011.645833,0.983333333
Gucheng,3/12/2013,137.0833333,5.183333333,1006.908333,0.983333333
Gucheng,3/13/2013,28.58333333,4.845833333,1020.5375,1.641666667
Gucheng,3/14/2013,100.5833333,3.983333333,1019.433333,1.345833333
Gucheng,3/15/2013,220.2083333,5.979166667,1012.466667,0.7375
Gucheng,3/16/2013,239.625,9.725,1014.85,1.241666667
Gucheng,3/17/2013,276.875,10.19583333,999.9625,0.829166667
Gucheng,3/18/2013,75.79166667,8.695833333,999.0625,2.458333333
Gucheng,3/19/2013,36.45833333,1.954166667,1006.95,1.341666667
Gucheng,3/20/2013,61,1.891666667,1015.25,1.3625
Gucheng,3/21/2013,148.75,3.625,1002.8375,1.2125
Gucheng,3/22/2013,82.66666667,7.041666667,1009.520833,2.0125
Gucheng,3/23/2013,54.375,4.9625,1006.55,1.875
Gucheng,3/24/2013,21.08333333,5.358333333,1014.195833,1.541666667
Gucheng,3/25/2013,106.2083333,5.183333333,1013.245833,1.545833333
Gucheng,3/26/2013,180.9583333,7.108333333,1005.533333,0.891666667
Gucheng,3/27/2013,105.625,10.65833333,1003.0125,1.9
Gucheng,3/28/2013,29.83333333,8.0125,1013.5,1.816666667
Gucheng,3/29/2013,66.29166667,6.491666667,1014.108333,1.345833333
Gucheng,3/30/2013,64.875,6.508333333,1014.691667,1.583333333
Gucheng,3/31/2013,173.0416667,5.645833333,1011.033333,1.141666667
Gucheng,4/1/2013,93.79166667,11.21666667,1009.533333,2.266666667
Gucheng,4/2/2013,93.20833333,10.74583333,1009.308333,1.3
Gucheng,4/3/2013,122.9583333,11.78333333,1004.666667,1.7125
Gucheng,4/4/2013,58.58333333,7.8625,1007.0375,1.016666667
Gucheng,4/5/2013,54.70833333,8.658333333,1011.15,1.854166667
Gucheng,4/6/2013,14.375,8.545833333,1008.7625,1.233333333
Gucheng,4/7/2013,89.45833333,8.8375,1000.2125,1.370833333
Gucheng,4/8/2013,27.08333333,9.308333333,1005.075,4.016666667
Gucheng,4/9/2013,12.54166667,8.225,1012.416667,2.908333333
Gucheng,4/10/2013,11.125,8.766666667,1011.891667,2.708333333
Gucheng,4/11/2013,20.23529412,10.9875,1010.645833,1.770833333
Gucheng,4/12/2013,42.08333333,15.05,1004.675,1.4625
Gucheng,4/13/2013,68.875,17.39166667,996.8333333,2.333333333
Gucheng,4/14/2013,81.08333333,12.7875,1002.391667,1.8375
Gucheng,4/15/2013,98.23809524,12.825,995.5916667,1.495833333
Gucheng,4/16/2013,58.20833333,14.57916667,999.0458333,1.920833333
Gucheng,4/17/2013,58.70833333,12.3375,1003.858333,1.95
Gucheng,4/18/2013,9.416666667,11.05,1014.895833,1.9875
Gucheng,4/19/2013,33.08333333,6.2375,1016.616667,1.754166667
Gucheng,4/20/2013,75.58333333,9.166666667,1013.258333,1.5
Gucheng,4/21/2013,113.75,12.01666667,1010.266667,1.375
Gucheng,4/22/2013,156.3333333,12.125,1006.229167,1.170833333
Gucheng,4/23/2013,166,11.84166667,1003.6375,1.145833333
Gucheng,4/24/2013,119.1,15.85,1003.0375,1.841666667
Gucheng,4/25/2013,30.5,17.02083333,1005.3125,2.175
Gucheng,4/26/2013,84.22727273,16.89583333,1002.275,0.904166667
Gucheng,4/27/2013,63.25,18.3,1003.0875,1.104166667
Gucheng,4/28/2013,73.20833333,16.89166667,1002.5875,1.304166667
Gucheng,4/29/2013,21.875,21.82916667,1004.345833,2.2125
Gucheng,4/30/2013,39.25,21.72083333,1006.029167,1.3
Gucheng,5/1/2013,39.79166667,17.8875,1007.295833,1.229166667
Gucheng,5/2/2013,81.82608696,19.425,1004.070833,1.266666667
Gucheng,5/3/2013,63.16666667,18.18333333,1009.058333,1.358333333
Gucheng,5/4/2013,103.5833333,19.07916667,1008.570833,1.333333333
Gucheng,5/5/2013,166.9166667,20.64583333,1008.429167,0.7375
Gucheng,5/6/2013,227.4285714,23.1125,1006.5625,0.775
Gucheng,5/7/2013,130.7916667,23.19583333,1007.045833,0.854166667
Gucheng,5/8/2013,162.5789474,20.32916667,1006.145833,0.925
Gucheng,5/9/2013,65.45833333,17.80416667,1001.870833,0.966666667
Gucheng,5/10/2013,33.625,21.87916667,993.9708333,1.658333333
Gucheng,5/11/2013,32.65217391,24.775,987.9083333,1.283333333
Gucheng,5/12/2013,31.29166667,22.69166667,992.3833333,0.895833333
Gucheng,5/13/2013,84.79166667,21.67083333,994.6416667,0.725
Gucheng,5/14/2013,55.54166667,24.37083333,1000.2375,0.991666667
Gucheng,5/15/2013,59.54166667,23.1375,1008.245833,1.020833333
Gucheng,5/16/2013,51.91666667,21.55833333,1008.8,1.025
Gucheng,5/17/2013,113.9166667,20.8125,1003.8,0.891666667
Gucheng,5/18/2013,129.4166667,21.08333333,998.35,1.3375
Gucheng,5/19/2013,57.875,20.875,992.9083333,1.754166667
Gucheng,5/20/2013,45.08333333,21.83333333,992.9333333,1.445833333
Gucheng,5/21/2013,92.33333333,23.08333333,991.8375,0.808333333
Gucheng,5/22/2013,73.45833333,23.20416667,1002.729167,1.004166667
Gucheng,5/23/2013,62.5,23.47916667,1002.420833,0.683333333
Gucheng,5/24/2013,78.125,24.72083333,1004.133333,0.791666667
Gucheng,5/25/2013,76.95833333,25.02083333,1002.758333,1.079166667
Gucheng,5/26/2013,123.8333333,21.07083333,1001.008333,1.020833333
Gucheng,5/27/2013,68.29166667,18.75416667,999.9625,0.595833333
Gucheng,5/28/2013,64.45833333,19.65833333,998.0041667,1.029166667
Gucheng,5/29/2013,17.86363636,24.3875,1001.670833,1.866666667
Gucheng,5/30/2013,65.125,25.81666667,998.4666667,1.441666667
Gucheng,5/31/2013,117.6666667,24.625,994.925,1.041666667
Gucheng,6/1/2013,92.70833333,25.33333333,998.7458333,0.866666667
