date,store_id,sales
1/6/2019,25,736657.2267
1/6/2019,26,233711
1/6/2019,28,692156.3794
1/6/2019,29,213706.8
1/6/2019,30,266455
1/6/2019,31,837342.8156
1/6/2019,35,201013.6
1/6/2019,38,242397.03
1/6/2019,41,244189.4
1/6/2019,44,164553.5
1/13/2019,25,696457.1717
1/13/2019,26,261136.45
1/13/2019,28,787359.03
1/13/2019,29,279218
1/13/2019,30,252519.59
1/13/2019,31,836604.5717
1/13/2019,35,277550.185
1/13/2019,38,215895.275
1/13/2019,41,231992.5
1/13/2019,44,134188
1/20/2019,25,996876.875
1/20/2019,26,335058.1583
1/20/2019,28,683315.25
1/20/2019,29,395882
1/20/2019,30,361491.5
1/20/2019,31,1276188.192
1/20/2019,35,273090.5875
1/20/2019,38,311186.15
1/20/2019,41,359984.5
1/20/2019,44,216517
1/27/2019,25,1029737.05
1/27/2019,26,311922
1/27/2019,28,712351.625
1/27/2019,29,390012.5
1/27/2019,30,383478.5833
1/27/2019,31,1085120.889
1/27/2019,35,261651.4667
1/27/2019,38,413084.9333
1/27/2019,41,335767.75
1/27/2019,44,176299
2/3/2019,25,1072873.705
2/3/2019,26,287933.0517
2/3/2019,28,773482.9092
2/3/2019,29,447619.0283
2/3/2019,30,459175.1
2/3/2019,31,1279928.452
2/3/2019,35,350933.7167
2/3/2019,38,399851.8183
2/3/2019,41,429035.485
2/3/2019,44,208559.5833
2/10/2019,25,880462.4681
2/10/2019,26,307030.44
2/10/2019,28,647541.7864
2/10/2019,29,302765.05
2/10/2019,30,257609.5543
2/10/2019,31,971658.2701
2/10/2019,35,248740.2361
2/10/2019,38,264357.4
2/10/2019,41,259945.265
2/10/2019,44,142384.2
2/17/2019,25,1088756.78
2/17/2019,26,363273.7
2/17/2019,28,811403.0536
2/17/2019,29,415890.5833
2/17/2019,30,366691.0833
2/17/2019,31,1035044.282
2/17/2019,35,392791.96
2/17/2019,38,288352.45
2/17/2019,41,359697.45
2/17/2019,44,174383.9167
2/24/2019,25,1266928.313
