CustomerID,price_sum,event_timestamp,created_timestamp
0,12346,-1,2010-06-30 11:22:00,2010-06-30 11:22:00
1,12349,60,2010-10-28 08:23:00,2010-10-28 08:23:00
2,12351,6,2010-11-29 15:23:00,2010-11-29 15:23:00
3,12355,35,2010-05-21 11:59:00,2010-05-21 11:59:00
4,12356,84,2010-10-11 09:42:00,2010-10-11 09:42:00
5,12357,197,2010-11-16 14:29:00,2010-11-16 14:29:00
6,12358,12,2010-11-29 10:56:00,2010-11-29 10:56:00
7,12359,-4,2010-06-22 10:24:00,2010-06-22 10:24:00
8,12360,60,2010-05-25 09:55:00,2010-05-25 09:55:00
9,12369,36,2010-10-22 13:13:00,2010-10-22 13:13:00
10,12370,12,2010-02-09 09:41:00,2010-02-09 09:41:00
11,12371,16,2010-10-26 13:37:00,2010-10-26 13:37:00
12,12374,40,2010-10-14 10:16:00,2010-10-14 10:16:00
13,12377,42,2010-11-23 19:24:00,2010-11-23 19:24:00
14,12378,12,2010-05-26 14:07:00,2010-05-26 14:07:00
15,12380,118,2010-08-31 14:54:00,2010-08-31 14:54:00
16,12387,12,2010-10-20 16:27:00,2010-10-20 16:27:00
17,12388,4,2010-05-06 12:54:00,2010-05-06 12:54:00
18,12389,12,2010-11-02 11:52:00,2010-11-02 11:52:00
19,12391,42,2010-09-01 12:38:00,2010-09-01 12:38:00
20,12393,13,2010-11-22 16:10:00,2010-11-22 16:10:00
21,12395,34,2010-10-29 12:44:00,2010-10-29 12:44:00
22,12396,28,2010-02-03 13:22:00,2010-02-03 13:22:00
23,12399,65,2010-07-08 09:13:00,2010-07-08 09:13:00
24,12400,4,2010-10-21 13:45:00,2010-10-21 13:45:00
25,12402,16,2010-09-15 13:24:00,2010-09-15 13:24:00
26,12406,36,2010-11-05 11:42:00,2010-11-05 11:42:00
27,12408,8,2010-11-19 13:21:00,2010-11-19 13:21:00
28,12409,270,2010-10-15 10:24:00,2010-10-15 10:24:00
29,12411,6,2010-10-26 09:25:00,2010-10-26 09:25:00
30,12412,28,2010-11-02 17:02:00,2010-11-02 17:02:00
31,12413,1,2010-11-02 13:26:00,2010-11-02 13:26:00
32,12414,-35,2010-09-02 13:53:00,2010-09-02 13:53:00
33,12415,368,2010-11-29 15:07:00,2010-11-29 15:07:00
34,12417,13,2010-10-25 14:27:00,2010-10-25 14:27:00
35,12418,36,2010-10-22 10:29:00,2010-10-22 10:29:00
36,12419,3,2010-10-22 10:40:00,2010-10-22 10:40:00
